map	col1	col2	avgrr
2	5450000	5500000	20.9
2	5500000	5550000	21.57
2	5550000	5600000	21.77
2	5750000	5800000	21.77
2	5800000	5850000	21.68
2	5900000	5950000	21.51
2	6000000	6050000	21.47
2	6050000	6100000	21.49
2	6350000	6400000	20.67
2	6400000	6450000	20.13
2	6450000	6500000	19.7
2	6500000	6550000	19.48
2	6550000	6600000	18.77
2	6700000	6750000	17.81
2	6750000	6800000	17.49
2	6800000	6850000	16.7
2	6850000	6900000	16.36
2	6900000	6950000	15.815
2	6950000	7000000	15.04
2	7150000	7200000	10.91
2	7200000	7250000	9.56
2	7300000	7350000	6.51
2	7600000	7650000	2.71
2	7650000	7700000	2.58
2	7700000	7750000	2.47
2	7800000	7850000	2.4
2	8000000	8050000	1.745
2	8050000	8100000	1.59
2	8150000	8199999	1.14
2	8199999	8250000	0.91
2	8350000	8400000	0.56
2	8400000	8450000	0.48
2	8500000	8550000	0.24
2	8650000	8700000	0.07
2	8700000	8750000	0.05
2	8950000	9000000	0.01
2	9000000	9050000	0.02
2	9150000	9200000	0.03
2	9200000	9250000	0.03
2	9250000	9300000	0.03
3	100000	150000	1.32
3	300000	350000	2.25
3	500000	550000	3.14
3	950000	1000000	5.07
3	1700000	1750000	9.57
3	2049999	2100000	10.78
3	2100000	2150000	10.99
3	2350000	2400000	11.48
3	2500000	2550000	11.74
3	2550000	2600000	11.81
3	2650000	2700000	11.9
3	2750000	2800000	11.91
3	2950000	3000000	11.9
3	3000000	3050000	11.89
3	3050000	3100000	11.84
3	3200000	3250000	11.69
3	3500000	3550000	11.4
3	3550000	3600000	11.38
3	3700000	3750000	11.2
3	3850000	3900000	10.94
3	3900000	3950000	10.9
3	3950000	4000000	10.84
3	4000000	4050000	10.8
3	4050000	4099999	10.77
3	4150000	4200000	10.72
3	4200000	4250000	10.72
3	4250000	4300000	10.74
3	4300000	4350000	10.76
3	4350000	4400000	10.77
3	4450000	4500000	10.77
3	4500000	4550000	10.76
3	4550000	4600000	10.76
3	4600000	4650000	10.79
3	4650000	4700000	10.82
3	4800000	4850000	11.01
3	4850000	4900000	11.04
3	4900000	4950000	11.08
3	4950000	5000000	11.09
3	5050000	5100000	11.15
3	5100000	5150000	11.15
3	5200000	5250000	11.11
3	5250000	5300000	11.09
3	5300000	5350000	11.05
3	5450000	5500000	10.81
3	5650000	5700000	10.38
3	5750000	5800000	10.01
3	5800000	5850000	9.74
3	5950000	6000000	9.11
3	6100000	6150000	8.57
3	6200000	6250000	8.12
3	6250000	6300000	7.93
3	6300000	6350000	7.57
3	6350000	6400000	7.41
3	6400000	6450000	7.23
3	6450000	6500000	6.94
3	6500000	6550000	6.76
3	6550000	6600000	6.645
3	6650000	6700000	6.24
3	6750000	6800000	5.88
3	6900000	6950000	5.34
3	7150000	7200000	4.64
3	7350000	7400000	4.41
3	7400000	7450000	4.395
3	7500000	7550000	4.36
3	7550000	7600000	4.34
3	7650000	7700000	4.33
3	7700000	7750000	4.34
3	7750000	7800000	4.38
3	7800000	7850000	4.445
3	7850000	7900000	4.53
3	8000000	8050000	4.71
3	8050000	8100000	4.74
3	8100000	8150000	4.785
3	8350000	8400000	4.9399999999999995
3	8500000	8550000	5.1
3	8600000	8650000	5.16
3	8650000	8700000	5.23
3	8750000	8800000	5.31
3	8800000	8850000	5.36
3	8850000	8900000	5.38
3	8900000	8950000	5.4
3	9050000	9100000	5.54
3	9200000	9250000	5.61
3	9300000	9350000	5.63
3	9350000	9400000	5.64
3	9400000	9450000	5.66
3	9650000	9700000	5.82
3	9750000	9800000	5.89
3	9800000	9850000	5.91
3	9850000	9900000	5.96
3	9950000	10000000	6.03
3	10250000	10300000	6.23
3	10350000	10400000	6.285
