map	col1	col2	avgrr
2	2750000	2800000	3.9825
2	2850000	2900000	3.9
2	2950000	3000000	3.6266666666666665
2	3050000	3100000	3.4800000000000004
2	3100000	3150000	3.47
2	3150000	3200000	3.45
2	3300000	3350000	3.34
2	3350000	3400000	3.263333333333333
2	3400000	3450000	3.1966666666666668
2	3450000	3500000	3.13
2	3500000	3550000	3.0725
2	3550000	3600000	3.04
2	3650000	3700000	3.04
2	3750000	3800000	3.1900000000000004
2	3800000	3850000	3.256666666666667
2	3850000	3900000	3.3875
2	3900000	3950000	3.47
2	3950000	4000000	3.6166666666666667
2	4050000	4099999	3.74
2	4150000	4200000	3.89
2	4200000	4250000	3.97
2	4300000	4350000	4.266666666666667
2	4500000	4550000	5.22
2	4550000	4600000	5.43
2	4600000	4650000	5.826666666666666
2	4650000	4700000	6.24
2	4700000	4750000	6.43
2	4750000	4800000	6.85
2	4800000	4850000	7.136666666666667
2	4850000	4900000	7.48
2	4900000	4950000	8.1
2	4950000	5000000	8.77
2	5000000	5050000	9.18
2	5050000	5100000	9.82
2	5100000	5150000	11.355
2	5150000	5200000	12.24
2	5200000	5250000	12.65
2	5250000	5300000	14.376666666666667
2	5300000	5350000	14.89
2	5350000	5400000	16.244999999999997
2	5400000	5450000	16.82
2	5450000	5500000	17.763333333333332
2	5700000	5750000	19.84
2	5750000	5800000	20.12
2	5800000	5850000	20.243333333333336
2	5900000	5950000	20.619999999999997
2	6000000	6050000	20.82
2	6050000	6100000	20.92
2	6150000	6200000	21.02
2	6350000	6400000	19.93
2	6400000	6450000	19.543333333333333
2	6450000	6500000	19.43
2	6650000	6700000	17.88
2	6700000	6750000	17.473333333333333
2	6750000	6800000	17.11
2	6800000	6850000	16.685000000000002
2	6850000	6900000	16.1
2	6950000	7000000	15.21
2	7050000	7100000	13
2	7100000	7150000	12.395
2	7150000	7200000	11.3
2	7300000	7350000	8.01
2	7350000	7400000	7.1
2	7400000	7450000	6.62
2	7500000	7550000	5.23
2	7600000	7650000	4.13
2	7650000	7700000	3.84
2	7700000	7750000	3.25
2	7900000	7950000	1.9
2	7950000	8000000	1.65
2	8000000	8050000	1.37
2	8250000	8300000	0.37
2	8350000	8400000	0.13
2	8650000	8700000	0.02
2	8700000	8750000	0.02
2	8850000	8900000	0.02
2	8950000	9000000	0.04
2	9050000	9100000	0.03
2	9100000	9150000	0.03
3	0	50000	1.22
3	50000	100000	1.43
3	100000	150000	1.48
3	300000	350000	2
3	1050000	1100000	4.92
3	2049999	2100000	9.14
3	2350000	2400000	10.35
3	2400000	2450000	10.54
3	2650000	2700000	11.09
3	2750000	2800000	11.34
3	3250000	3300000	11.7325
3	3350000	3400000	11.64
3	3400000	3450000	11.55
3	3450000	3500000	11.495000000000001
3	3550000	3600000	11.25
3	3600000	3650000	11.030000000000001
3	3700000	3750000	10.73
3	3750000	3800000	10.37
3	3800000	3850000	10.27
3	3850000	3900000	10.135000000000002
3	3900000	3950000	9.87
